id,stable
4,0
10,1
11,0
13,1
24,1
27,1
36,0
38,1
41,0
43,1
55,1
56,1
61,1
64,1
72,0
75,0
76,1
79,1
80,1
91,1
108,1
110,1
118,0
122,0
125,1
127,0
128,0
130,0
131,1
137,1
144,0
148,0
150,0
153,0
160,1
161,0
165,1
167,1
168,0
169,1
174,1
188,0
189,0
202,0
205,1
214,0
215,0
226,0
228,0
238,1
239,0
243,0
246,0
251,1
261,1
262,0
268,1
273,1
276,0
280,1
287,1
292,0
295,0
313,1
316,0
322,1
325,0
329,1
336,1
338,1
340,0
342,0
350,1
365,0
380,1
386,1
396,0
400,0
415,1
422,1
426,1
432,1
433,0
441,0
455,1
457,0
462,1
463,0
477,0
478,1
484,0
487,1
491,1
503,1
519,0
521,0
533,0
539,0
549,1
551,1
554,1
561,0
562,1
563,0
569,1
575,1
592,0
596,1
598,1
599,1
609,0
611,0
620,1
622,1
623,1
627,0
630,0
632,1
637,0
639,1
646,0
647,0
648,1
652,1
656,1
662,0
666,1
667,1
668,1
677,0
685,0
688,1
695,0
700,1
702,1
703,0
704,1
712,0
716,0
721,1
740,1
741,0
750,1
755,0
757,0
758,0
760,0
764,1
773,0
777,1
779,0
783,1
792,1
800,1
803,1
807,0
818,0
825,1
835,0
840,1
849,0
850,0
864,0
865,1
876,1
880,0
883,1
884,1
886,1
888,1
896,1
900,1
903,1
904,0
908,0
910,1
915,0
920,0
928,0
934,1
935,1
936,1
949,1
950,1
962,0
967,1
969,1
984,0
988,0
991,1
1005,1
1006,0
1020,0
1025,0
1038,0
1041,1
1045,1
1052,0
1056,0
1061,0
1077,1
1079,1
1080,1
1081,0
1088,1
1089,0
1096,0
1097,1
1103,0
1105,0
1111,1
1113,0
1115,1
1124,1
1135,1
1144,1
1145,1
1155,1
1157,1
1160,1
1166,1
1167,1
1169,0
1181,1
1196,1
1198,1
1201,0
1206,0
1212,1
1220,1
1221,1
1226,0
1227,1
1229,1
1237,1
1239,0
1243,0
1244,1
1251,1
1255,0
1261,1
1265,0
1274,1
1279,1
1280,0
1283,1
1293,1
1299,1
1301,1
1302,1
1305,1
1311,1
1314,1
1317,1
1318,0
1326,1
1330,0
1331,0
1346,0
1348,0
1350,0
1356,1
1357,0
1361,1
1366,1
1373,1
1382,0
1394,1
1404,1
1406,1
1407,1
1412,1
1414,1
1418,1
1419,1
1424,1
1425,1
1426,1
1428,1
1430,1
1437,0
1438,0
1445,1
1450,0
1458,0
1463,1
1482,0
1496,0
1498,0
1502,0
1510,1
1514,0
1517,1
1518,1
1531,0
1533,1
1543,1
1547,1
1553,1
1554,0
1556,0
1560,1
1561,0
1576,1
1577,0
1581,1
1591,0
1597,1
1601,0
1611,1
1615,1
1620,0
1623,1
1629,0
1631,0
1634,1
1645,0
1649,0
1652,1
1653,0
1658,0
1664,1
1676,1
1682,0
1683,1
1685,0
1691,1
1697,1
1705,0
1708,0
1712,1
1724,1
1745,1
1750,0
1752,0
1754,0
1755,0
1762,1
1772,1
1774,0
1778,1
1782,1
1790,1
1793,1
1794,0
1797,1
1803,1
1811,0
1812,0
1818,1
1820,1
1822,1
1824,0
1829,1
1835,1
1836,1
1837,0
1839,1
1843,0
1844,1
1850,1
1853,1
1860,1
1861,1
1862,1
1864,0
1867,1
1869,0
1883,0
1884,1
1888,0
1891,1
1892,0
1894,1
1897,0
1900,0
1905,1
1907,0
1910,0
1912,1
1921,0
1932,1
1935,0
1936,1
1948,1
1954,0
1955,1
1956,1
1957,1
1958,1
1962,1
1965,0
1969,1
1971,0
1973,1
1974,0
1975,0
1985,0
1988,0
2008,0
2011,1
2014,0
2020,1
2022,0
2023,1
2026,1
2040,0
2045,1
2054,0
2059,1
2063,1
2066,0
2071,0
2073,1
2087,1
2098,1
2100,0
2103,1
2106,1
2108,0
2115,1
2120,0
2121,1
2141,0
2143,0
2146,1
2150,1
2164,0
2169,1
2172,1
2173,1
2177,1
2179,1
2190,1
2194,1
2195,0
2198,1
2204,1
2207,1
2216,1
2220,1
2221,0
2224,0
2237,1
2241,0
2245,1
2258,0
2266,0
2271,0
2280,1
2284,1
2286,1
2291,0
2292,1
2293,1
2295,1
2299,0
2300,1
2303,1
2307,1
2315,0
2323,0
2327,1
2338,0
2341,0
2350,1
2361,1
2363,1
2374,1
2385,0
2392,1
2393,0
2394,0
2402,1
2403,1
2410,0
2411,0
2412,1
2414,0
2421,1
2423,0
2437,1
2439,0
2450,1
2461,1
2468,1
2469,0
2476,1
2480,0
2481,1
2483,1
2486,1
2491,0
2493,0
2494,1
2495,1
2502,0
2503,0
2510,0
2513,1
2519,1
2532,0
2542,1
2543,0
2545,1
2547,0
2548,1
2550,1
2551,1
2556,0
2563,1
2567,1
2569,0
2571,0
2577,1
2580,0
2592,1
2593,0
2594,0
2597,0
2612,1
2623,1
2628,1
2641,0
2642,0
2644,0
2645,0
2651,1
2661,1
2662,1
2666,0
2674,1
2678,1
2681,1
2691,0
2713,0
2724,1
2732,1
2733,0
2734,1
2741,1
2743,0
2746,0
2750,1
2760,1
2770,1
2781,0
2783,0
2786,1
2788,1
2792,1
2794,1
2804,0
2806,1
2817,0
2820,1
2825,0
2832,0
2833,0
2835,0
2839,1
2841,1
2842,0
2843,1
2850,0
2855,1
2857,1
2864,0
2868,0
2873,1
2874,0
2889,0
2901,1
2906,1
2907,0
2908,1
2910,1
2915,1
2919,1
2920,0
2924,0
2925,0
2940,1
2942,1
2946,1
2951,0
2952,1
2959,0
2960,0
2967,0
2968,1
2973,1
2977,1
2978,0
2986,0
2989,1
2996,1
2999,1
3002,0
3004,1
3005,1
3008,1
3010,0
3012,0
3016,1
3021,0
3022,1
3024,0
3026,1
3034,1
3036,1
3037,1
3041,1
3044,0
3047,0
3055,0
3060,1
3067,0
3073,0
3076,0
3077,1
3086,0
3087,0
3088,1
3092,0
3094,0
3095,1
3097,0
3116,1
3123,0
3145,0
3147,1
3150,0
3158,1
3163,1
3168,1
3169,0
3172,1
3173,0
3177,1
3179,1
3188,0
3189,1
3198,1
3204,1
3208,0
3214,1
3224,1
3226,1
3244,0
3263,0
3268,1
3270,1
3271,1
3279,0
3280,1
3288,1
3293,0
3296,0
3305,0
3306,0
3307,1
3308,1
3309,1
3314,0
3324,0
3330,0
3332,1
3349,0
3352,1
3354,1
3366,1
3375,0
3378,1
3379,0
3380,1
3382,1
3388,1
3390,1
3391,0
3398,0
3400,0
3405,1
3417,0
3430,0
3431,1
3436,1
3440,0
3441,1
3446,0
3447,0
3450,1
3474,1
3480,1
3487,0
3492,1
3500,0
3503,0
3507,0
3508,1
3514,0
3520,0
3525,1
3527,1
3530,1
3531,1
3532,1
3534,0
3535,0
3549,0
3550,0
3563,0
3570,1
3571,1
3577,0
3580,1
3585,1
3605,0
3623,1
3626,0
3642,0
3643,0
3644,1
3649,0
3653,1
3654,0
3655,1
3657,0
3658,1
3660,0
3669,1
3671,0
3675,0
3677,0
3679,0
3681,0
3684,1
3689,1
3691,1
3693,1
3695,0
3700,1
3705,1
3722,1
3727,0
3729,1
3740,1
3741,1
3745,1
3749,0
3762,1
3764,0
3768,1
3786,1
3790,1
3791,1
3807,0
3822,1
3825,1
3826,1
3827,1
3831,1
3839,1
3840,1
3854,1
3856,1
3858,1
3859,1
3866,0
3868,1
3870,1
3872,0
3878,1
3880,0
3882,0
3883,0
3886,1
3887,0
3894,0
3902,0
3906,0
3908,1
3921,1
3924,0
3928,1
3930,1
3933,1
3934,1
3937,0
3945,1
3952,0
3954,0
3980,0
3988,0
3989,0
3990,1
3993,0
3998,0
4003,1
4007,0
4008,1
4009,0
4011,0
4012,0
4017,0
4026,0
4033,1
4039,1
4043,1
4051,1
4055,0
4057,1
4063,1
4065,1
4066,1
4073,1
4075,1
4076,1
4083,1
4125,0
4133,1
4136,1
4140,0
4144,1
4146,1
4147,1
4149,0
4150,1
4158,0
4164,1
4165,1
4167,1
4169,1
4173,0
4177,0
4184,1
4185,1
4190,1
4192,0
4204,1
4212,0
4218,0
4234,1
4235,1
4237,1
4239,1
4242,0
4243,0
4245,0
4248,0
4250,0
4256,0
4260,0
4268,1
4274,1
4279,0
4283,1
4284,1
4285,1
4289,1
4295,1
4296,0
4305,0
4308,1
4309,1
4319,1
4331,1
4339,0
4340,1
4342,1
4346,0
4352,1
4362,0
4363,0
4368,0
4372,1
4382,1
4387,1
4388,1
4394,1
4397,0
4409,1
4411,0
4413,0
4414,1
4416,1
4425,1
4432,1
4448,1
4452,0
4455,0
4456,1
4464,1
4470,1
4474,1
4475,1
4484,1
4490,0
4491,0
4494,1
4495,0
4508,0
4522,1
4523,1
4532,0
4537,1
4541,0
4542,1
4558,0
4562,1
4570,0
4573,0
4578,0
4579,1
4586,1
4598,0
4613,0
4621,0
4622,0
4623,0
4624,0
4627,0
4629,1
4633,1
4636,1
4639,1
4647,1
4650,1
4653,0
4659,1
4662,0
4663,0
4674,0
4675,0
4678,1
4680,0
4682,1
4683,1
4689,0
4693,0
4696,0
4698,1
4702,1
4704,1
4707,1
4708,1
4715,0
4723,0
4736,0
4742,1
4748,0
4757,0
4762,0
4775,1
4777,1
4779,1
4782,0
4798,1
4804,0
4810,1
4818,1
4822,0
4825,0
4829,1
4834,0
4837,1
4845,0
4847,0
4848,1
4849,0
4852,0
4853,0
4863,1
4867,0
4868,0
4869,1
4870,0
4877,0
4880,1
4885,1
4888,0
4891,0
4899,1
4911,1
4914,0
4915,0
4924,0
4927,1
4930,1
4931,0
4933,1
4934,0
4938,0
4943,1
4948,0
4952,1
4958,0
4961,1
4964,0
4966,0
4972,1
4979,0
4984,0
4988,1
4993,0
5004,1
5019,1
5025,0
5028,1
5041,0
5047,1
5050,0
5053,0
5057,1
5063,0
5068,0
5072,1
5077,0
5085,0
5088,0
5111,0
5115,0
5119,0
5122,1
5132,1
5134,0
5140,1
5147,0
5150,1
5161,0
5164,1
5167,1
5169,0
5179,0
5182,1
5188,1
5194,0
5196,0
5205,1
5214,0
5215,0
5216,1
5223,0
5224,1
5233,0
5234,0
5238,1
5244,1
5246,0
5250,1
5255,0
5258,1
5264,0
5265,0
5269,0
5274,0
5279,1
5286,0
5288,0
5289,0
5296,0
5306,1
5310,1
5311,1
5336,1
5338,0
5344,0
5348,1
5349,0
5354,1
5361,1
5362,0
5366,0
5371,0
5382,0
5391,0
5397,0
5413,1
5414,1
5416,0
5417,1
5418,0
5438,1
5441,0
5444,1
5450,1
5452,0
5461,0
5465,0
5466,1
5467,1
5471,0
5474,1
5477,1
5481,1
5487,1
5490,1
5494,1
5497,1
5507,0
5508,1
5510,0
5511,1
5529,1
5533,1
5540,0
5542,1
5543,1
5545,1
5550,0
5555,0
5557,1
5565,0
5569,1
5575,0
5577,0
5584,1
5588,1
5591,0
5595,0
5599,0
5617,1
5629,1
5635,0
5639,1
5642,0
5643,0
5655,1
5657,0
5664,1
5669,1
5670,1
5671,1
5672,1
5673,1
5676,1
5679,0
5680,1
5683,1
5690,1
5702,1
5703,1
5704,0
5711,0
5714,1
5715,0
5720,0
5724,0
5728,1
5756,1
5757,0
5761,1
5762,1
5763,0
5766,1
5769,1
5770,0
5773,1
5774,1
5785,1
5794,1
5796,1
5799,0
5802,1
5804,0
5820,0
5824,0
5831,0
5836,0
5839,0
5842,1
5845,0
5854,1
5859,1
5864,0
5865,0
5873,0
5874,0
5876,0
5878,0
5881,0
5883,1
5894,1
5896,0
5899,0
5900,1
5901,1
5903,1
5913,0
5918,1
5920,1
5923,0
5925,0
5928,1
5933,1
5938,0
5939,1
5941,1
5942,0
5956,1
5958,0
5960,0
5963,0
5968,1
5974,1
5978,1
5987,1
5990,1
5996,0
5998,1
6004,1
6007,0
6011,0
6016,1
6018,1
6019,1
6022,0
6028,1
6033,1
6036,1
6051,0
6057,1
6059,1
6062,0
6071,0
6072,0
6084,1
6088,0
6104,1
6106,0
6112,0
6119,1
6124,1
6125,1
6139,1
6141,1
6144,0
6153,0
6162,0
6165,0
6168,0
6183,0
6185,1
6191,0
6199,1
6200,1
6206,1
6208,1
6221,0
6226,1
6231,0
6232,1
6237,1
6255,1
6269,1
6293,0
6299,0
6303,1
6305,1
6308,1
6311,1
6314,0
6320,1
6323,1
6327,1
6329,0
6334,1
6335,1
6338,1
6355,1
6363,1
6364,1
6373,0
6374,1
6391,0
6407,1
6412,1
6420,0
6421,0
6424,1
6433,1
6438,0
6442,1
6443,0
6445,0
6450,1
6458,1
6470,0
6476,1
6481,0
6483,1
6487,1
6491,1
6492,0
6498,1
6500,0
6513,1
6517,0
6518,1
6520,1
6537,1
6539,0
6543,1
6545,0
6549,1
6556,0
6559,1
6562,1
6564,1
6566,0
6569,0
6578,0
6583,0
6586,1
6591,0
6602,0
6604,1
6605,0
6609,0
6620,1
6629,0
6631,0
6635,0
6637,0
6642,0
6645,0
6648,1
6659,1
6668,0
6671,1
6680,0
6684,1
6700,0
6702,1
6705,1
6708,0
6709,1
6710,1
6711,0
6714,1
6716,1
6723,0
6725,0
6737,0
6749,1
6754,0
6758,0
6768,1
6772,1
6782,1
6783,0
6786,0
6787,0
6793,0
6806,0
6809,0
6812,1
6814,1
6815,1
6820,1
6828,0
6830,0
6831,0
6832,1
6834,1
6835,0
6841,1
6842,0
6848,1
6852,0
6853,1
6855,0
6859,1
6864,0
6866,1
6867,0
6870,1
6877,1
6878,1
6881,1
6884,1
6886,0
6891,0
6895,0
6900,1
6902,1
6903,1
6904,1
6910,0
6913,0
6917,1
6918,1
6921,0
6922,0
6929,1
6931,1
6933,1
6937,1
6939,0
6940,0
6950,0
6953,1
6957,0
6961,1
6969,0
6982,0
6985,1
6988,0
6989,1
6997,0
7009,1
7015,0
7016,0
7019,1
7020,1
7041,0
7045,1
7053,0
7057,1
7059,1
7066,1
7073,0
7079,1
7084,1
7088,0
7092,0
7095,1
7096,0
7099,1
7107,1
7114,1
7116,1
7120,0
7122,1
7123,0
7128,0
7141,0
7144,1
7148,1
7151,0
7153,1
7157,1
7164,1
7169,1
7170,1
7172,1
7174,1
7176,1
7180,1
7191,1
7193,0
7196,1
7202,1
7204,1
7206,0
7209,0
7214,1
7216,0
7217,0
7221,1
7230,0
7234,1
7238,1
7239,0
7240,0
7245,0
7252,0
7253,0
7257,0
7263,1
7271,1
7273,1
7284,0
7290,1
7298,0
7301,1
7304,1
7307,0
7312,1
7321,0
7322,0
7328,0
7340,0
7342,1
7347,1
7350,0
7356,1
7363,1
7367,0
7370,0
7385,0
7398,0
7401,0
7408,1
7415,0
7425,1
7431,1
7439,0
7446,0
7448,1
7449,1
7451,1
7456,0
7462,0
7465,0
7475,1
7477,0
7481,1
7486,0
7488,1
7493,1
7502,0
7506,1
7515,1
7516,0
7517,0
7523,1
7527,1
7532,0
7539,0
7541,1
7547,1
7548,0
7549,1
7553,1
7554,0
7563,1
7565,0
7573,1
7576,1
7577,0
7585,0
7592,1
7595,1
7596,0
7597,1
7600,0
7604,0
7617,0
7619,0
7620,1
7622,1
7630,0
7635,1
7638,0
7639,1
7644,1
7650,0
7651,0
7652,0
7657,0
7660,1
7661,0
7663,0
7664,1
7666,1
7669,1
7682,1
7689,1
7707,1
7712,0
7715,1
7720,1
7724,0
7726,1
7731,0
7745,0
7777,1
7783,0
7784,1
7787,1
7788,1
7800,1
7801,1
7807,0
7809,1
7810,1
7817,1
7819,1
7823,1
7825,0
7829,1
7831,0
7836,1
7852,0
7853,0
7858,1
7859,1
7865,1
7871,1
7874,1
7886,1
7890,1
7892,1
7893,0
7915,0
7917,0
7923,1
7937,0
7945,1
7950,0
7960,1
7961,1
7966,1
7967,0
7969,1
7970,1
7973,0
7976,0
7978,0
7991,1
8003,0
8006,0
8007,1
8011,1
8028,1
8029,0
8034,1
8038,0
8044,1
8045,0
8047,1
8048,1
8049,1
8054,1
8060,0
8063,1
8064,1
8065,0
8067,0
8073,1
8077,1
8079,1
8083,0
8096,0
8104,0
8105,1
8121,1
8123,1
8134,1
8140,1
8142,1
8149,0
8157,0
8166,1
8168,1
8179,1
8182,0
8185,0
8186,1
8191,1
8192,0
8196,1
8200,0
8210,0
8211,1
8214,0
8217,0
8220,0
8223,1
8242,0
8260,1
8264,0
8265,0
8266,0
8267,0
8273,0
8276,1
8286,0
8288,1
8298,0
8302,0
8314,1
8316,1
8340,1
8345,1
8351,0
8352,1
8356,0
8366,0
8370,1
8372,0
8380,1
8389,1
8392,0
8397,0
8398,0
8400,1
8401,0
8403,1
8405,0
8406,0
8411,1
8413,0
8415,0
8418,1
8425,1
8426,0
8430,1
8434,0
8448,0
8449,0
8450,1
8452,0
8485,1
8490,0
8498,0
8499,1
8503,1
8513,1
8520,0
8524,1
8531,1
8538,0
8542,0
8547,0
8549,1
8552,1
8560,1
8574,0
8578,0
8581,1
8584,1
8588,1
8590,0
8593,0
8601,0
8605,0
8607,1
8622,0
8623,0
8625,1
8630,0
8633,0
8634,0
8636,1
8655,1
8656,0
8657,1
8662,0
8665,0
8668,0
8670,1
8671,1
8672,1
8677,0
8679,0
8680,1
8687,1
8688,1
8690,1
8692,0
8700,1
8705,1
8708,1
8711,0
8723,1
8736,0
8737,1
8739,0
8742,1
8743,0
8745,1
8751,1
8752,1
8762,1
8768,0
8776,1
8782,1
8783,0
8789,1
8795,1
8796,0
8801,1
8809,1
8810,1
8811,1
8818,1
8828,1
8832,0
8839,0
8845,0
8846,0
8851,0
8858,0
8861,0
8879,0
8880,1
8882,1
8885,1
8887,1
8912,0
8913,0
8916,0
8919,1
8923,1
8929,0
8937,0
8941,0
8947,1
8957,0
8961,0
8963,0
8964,0
8974,0
8975,1
8982,1
8985,0
8997,1
8998,0
8999,1
9004,0
9011,1
9013,1
9025,0
9039,0
9040,1
9047,0
9048,1
9062,1
9066,0
9068,1
9077,0
9082,1
9088,0
9092,1
9093,0
9095,0
9099,1
9103,1
9111,0
9121,0
9122,1
9123,1
9125,0
9130,0
9131,1
9133,1
9136,0
9143,0
9150,0
9163,0
9167,1
9170,0
9172,1
9182,0
9199,1
9201,1
9207,1
9210,1
9215,0
9219,1
9221,0
9227,0
9228,0
9230,0
9243,1
9249,0
9252,0
9254,1
9255,0
9257,0
9272,1
9283,0
9296,1
9298,0
9308,0
9313,0
9314,0
9324,1
9331,1
9332,0
9342,1
9345,0
9346,0
9347,0
9349,1
9355,0
9360,1
9364,0
9365,0
9366,0
9368,1
9374,1
9377,0
9388,1
9397,1
9400,1
9401,1
9402,1
9406,1
9415,1
9418,0
9421,1
9422,1
9425,1
9427,1
9434,1
9436,1
9439,1
9440,0
9441,0
9443,1
9461,1
9462,0
9468,0
9471,0
9474,0
9483,1
9501,1
9503,1
9515,0
9518,1
9522,1
9526,0
9528,1
9534,0
9535,1
9536,1
9542,0
9547,1
9555,0
9558,1
9571,0
9594,1
9603,0
9608,0
9609,1
9618,0
9619,0
9628,0
9631,0
9632,1
9637,0
9653,1
9665,1
9666,0
9667,1
9673,0
9680,0
9682,1
9685,0
9693,1
9695,0
9697,1
9701,0
9703,0
9717,0
9720,0
9725,0
9727,0
9728,1
9730,0
9740,0
9741,0
9742,0
9745,1
9749,1
9750,0
9753,0
9762,0
9770,0
9771,1
9773,1
9780,0
9784,1
9792,0
9794,0
9795,1
9796,0
9798,1
9800,1
9811,1
9816,1
9819,1
9820,1
9821,1
9825,0
9839,1
9840,0
9846,0
9853,0
9862,1
9870,0
9871,0
9877,0
9882,1
9884,0
9885,1
9889,1
9892,0
9893,1
9904,1
9906,0
9909,0
9917,1
9919,1
9922,0
9931,1
9942,1
9948,1
9949,0
9952,1
9953,1
9958,0
9963,1
9965,0
9975,1
9985,0
9986,0
9999,1
10004,0
10008,1
10018,0
10020,0
10021,0
10028,1
10034,1
10035,0
10042,0
10043,0
10050,0
10055,0
10056,0
10058,1
10062,1
10065,1
10073,0
